Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ambient Assisted Living Tools for a Sustanaible Aging Society","Resource Management in Mobile Computing Environments","","","","10.1007/978-3-319-06704-9_9","Andrés L. BledaRafael MaestreAntonio J. JaraAntonio Gomez Skarmeta","2014","http://link.springer.com/chapter/10.1007/978-3-319-06704-9_9","Chapter"
"RITA Project: An Ambient Assisted Living Solution for Independent and Safely Living of Aging Population","Ambient Assisted Living","","","","10.1007/978-3-319-01119-6_30","Raffaele EspositoManuele BonaccorsiDario EspositoMassimo FilippiErika RoviniMichela AquilanoFilippo CavalloPaolo Dario","2014","http://link.springer.com/chapter/10.1007/978-3-319-01119-6_30","Chapter"
"Context Aware Computing for Ambient Assisted Living","Inclusive Smart Cities and  Digital Health","","","","10.1007/978-3-319-39601-9_29","Peter WlodarczakJeffrey SoarMustafa Ally","2016","http://link.springer.com/chapter/10.1007/978-3-319-39601-9_29","Chapter"
"Contributions of ambient assisted living for health and quality of life in the elderly and care services - a qualitative analysis from the experts’ perspective of care service professionals","BMC Geriatrics","","14","1","10.1186/1471-2318-14-112","Christian SiegelAndreas HochgattererThomas Ernst Dorner","2014","http://link.springer.com/article/10.1186/1471-2318-14-112","Article"
"Ambient Assisted Living Environment Towards Internet of Things Using Multifarious Sensors Integrated with XBee Platform","Internet of Things","","","","10.1007/978-3-319-04223-7_9","N. K. SuryadevaraS. KellyS. C. Mukhopadhyay","2014","http://link.springer.com/chapter/10.1007/978-3-319-04223-7_9","Chapter"
"Spatial Modeling Factors in Sensor-Based Ambient Assisted Living Technologies Designed for Ageing Populations","Human Aspects of IT for the Aged Population. Design for Everyday Life","","","","10.1007/978-3-319-20913-5_34","Dua’a Al-HajjarReem Al EhaidibSarah Al MuhannaMay Al SohibaniAreej Al-Wabil","2015","http://link.springer.com/chapter/10.1007/978-3-319-20913-5_34","Chapter"
"Flexible context aware interface for ambient assisted living","Human-centric Computing and Information Sciences","","4","1","10.1186/2192-1962-4-1","James McNaullJuan Carlos AugustoMaurice MulvennaPaul McCullagh","2014","http://link.springer.com/article/10.1186/2192-1962-4-1","Article"
"A Comparison Between Ambient Assisted Living Systems","Smart Homes and Health Telematics","","","","10.1007/978-3-319-14424-5_26","Molham DarwishEric SennChristophe LohrYvon Kermarrec","2015","http://link.springer.com/chapter/10.1007/978-3-319-14424-5_26","Chapter"
"Evaluation of a modular scalable system for silver-ager located in assisted living homes in Austria – study protocol of the ModuLAAr ambient assisted living project","BMC Public Health","","14","1","10.1186/1471-2458-14-736","Christian SiegelBarbara Prazak-AramJohannes KropfMichael KundiThomas Dorner","2014","http://link.springer.com/article/10.1186/1471-2458-14-736","Article"
"Visible Light Communications (VLC) for Ambient Assisted Living","Wireless Personal Communications","","78","3","10.1007/s11277-014-1901-1","Ambuj KumarAlbena MihovskaSofoklis KyriazakosRamjee Prasad","2014","http://link.springer.com/article/10.1007/s11277-014-1901-1","Article"
"Understanding the User’s Acceptance of a Sensor-Based Ambient Assisted Living Application","Human Behavior Understanding","","","","10.1007/978-3-319-24195-1_2","Christina JaschinskiSomaya Ben Allouch","2015","http://link.springer.com/chapter/10.1007/978-3-319-24195-1_2","Chapter"
"Smart Tales: An Awareness Game for Ambient Assisted Living","Ambient Intelligence","","","","10.1007/978-3-319-26005-1_13","Paolo SernaniFabiano DalpiazAldo Franco DragoniSjaak Brinkkemper","2015","http://link.springer.com/chapter/10.1007/978-3-319-26005-1_13","Chapter"
"Advancing Ambient Assisted Living with Caution","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-319-27695-3_2","Christian HuyckJuan AugustoXiaohong GaoJuan A. Botía","2015","http://link.springer.com/chapter/10.1007/978-3-319-27695-3_2","Chapter"
"Services and Applications in an Ambient Assisted Living (AAL) Environment","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_46","Laura BurzagliLorenzo Di FonzoPier Luigi Emiliani","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_46","Chapter"
"Smart Home Related Research","Smart Homes","","","","10.1007/978-3-319-13557-1_2","Nagender Kumar SuryadevaraSubhas Chandra Mukhopadhyay","2015","http://link.springer.com/chapter/10.1007/978-3-319-13557-1_2","Chapter"
"Smart Robot Control via Novel Computational Intelligence Methods for Ambient Assisted Living","Trends in Ambient Intelligent Systems","","","","10.1007/978-3-319-30184-6_2","Bo Xing","2016","http://link.springer.com/chapter/10.1007/978-3-319-30184-6_2","Chapter"
