Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Voices and Views of Informal Caregivers: Investigating Ambient Assisted Living Technologies","Ambient Intelligence","","","","10.1007/978-3-319-56997-0_8","Christina JaschinskiSomaya Ben Allouch","2017","http://link.springer.com/chapter/10.1007/978-3-319-56997-0_8","Chapter"
"Ambient Assisted Living Technologies from the Perspectives of Older People and Professionals","Machine Learning and Knowledge Extraction","","","","10.1007/978-3-319-66808-6_17","Deepika SinghJohannes KropfSten HankeAndreas Holzinger","2017","http://link.springer.com/chapter/10.1007/978-3-319-66808-6_17","Chapter"
"Exploring the ambient assisted living domain: a systematic review","Journal of Ambient Intelligence and Humanized Computing","","8","2","10.1007/s12652-016-0374-3","Davide CalvaresiDaniel CesariniPaolo SernaniMauro MarinoniAldo Franco DragoniArnon Sturm","2017","http://link.springer.com/article/10.1007/s12652-016-0374-3","Article"
"The Emergence of the Creative Ageing Movement","Economic Foundations for Creative Ageing Policy, Volume II","","","","10.1057/978-1-137-53523-8_5","Andrzej Klimczuk","2017","http://link.springer.com/chapter/10.1057/978-1-137-53523-8_5","Chapter"
"Assistive IoT: Deployment Scenarios and Challenges","Internet of Things and Smart Environments","","","","10.1007/978-3-319-60164-9_5","Seyed Shahrestani","2017","http://link.springer.com/chapter/10.1007/978-3-319-60164-9_5","Chapter"
"Novel Unobtrusive Approach for Sleep Monitoring Using Fiber Optics in an Ambient Assisted Living Platform","Enhanced Quality of Life and Smart Living","","","","10.1007/978-3-319-66188-9_5","Ibrahim SadekJoaquim BellmuntMartin KodyšBessam AbdulrazakMounir Mokhtari","2017","http://link.springer.com/chapter/10.1007/978-3-319-66188-9_5","Chapter"
"Agent-Based Assistance in Ambient Assisted Living Through Reinforcement Learning and Semantic Technologies","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69459-7_12","Nicole MerkleStefan Zander","2017","http://link.springer.com/chapter/10.1007/978-3-319-69459-7_12","Chapter"
"A Context-Aware System for Ambient Assisted Living","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_44","Alessandra De PaolaPierluca FerraroSalvatore GaglioGiuseppe Lo ReMarco MoranaMarco OrtolaniDaniele Peri","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_44","Chapter"
"The IoT and Smart Environments: An Overview","Internet of Things and Smart Environments","","","","10.1007/978-3-319-60164-9_4","Seyed Shahrestani","2017","http://link.springer.com/chapter/10.1007/978-3-319-60164-9_4","Chapter"
"Ambient Assisted Living Systems: A Model for Reasoning Under Uncertainty","Enterprise Information Systems","","","","10.1007/978-3-319-62386-3_16","Alencar MachadoVinicius MaranIara AugustinJoão Carlos LimaLeandro Krug WivesJosé Palazzo Moreira de Oliveira","2017","http://link.springer.com/chapter/10.1007/978-3-319-62386-3_16","Chapter"
"Ontological User Modeling for Ambient Assisted Living Service Personalization","System Level Design from HW/SW to Memory for Embedded Systems","","","","10.1007/978-3-319-90023-0_1","Maurício Fontana de VargasCarlos Eduardo Pereira","2017","http://link.springer.com/chapter/10.1007/978-3-319-90023-0_1","Chapter"
"Generating Bayesian Network Structures for Self-diagnosis of Sensor Networks in the Context of Ambient Assisted Living for Aging Well","Enhanced Quality of Life and Smart Living","","","","10.1007/978-3-319-66188-9_17","Camila Helena Souza OliveiraSylvain GirouxHubert NgankamHélène Pigot","2017","http://link.springer.com/chapter/10.1007/978-3-319-66188-9_17","Chapter"
"Aging, Disability, and Assistive Internet of Things","Internet of Things and Smart Environments","","","","10.1007/978-3-319-60164-9_1","Seyed Shahrestani","2017","http://link.springer.com/chapter/10.1007/978-3-319-60164-9_1","Chapter"
"Ontology-Based Decision Support Systems for Health Data Management to Support Collaboration in Ambient Assisted Living and Work Reintegration","Collaboration in a Data-Rich World","","","","10.1007/978-3-319-65151-4_32","Daniele Spoladore","2017","http://link.springer.com/chapter/10.1007/978-3-319-65151-4_32","Chapter"
"Visual End-User Programming of Personalized AAL in the Internet of Things","Ambient Intelligence","","","","10.1007/978-3-319-56997-0_13","Yannis ValsamakisAnthony Savidis","2017","http://link.springer.com/chapter/10.1007/978-3-319-56997-0_13","Chapter"
"The Smart City in Practice","Understanding Smart Cities: A Tool for Smart Government or an Industrial Trick?","","","","10.1007/978-3-319-57015-0_3","Leonidas G. Anthopoulos","2017","http://link.springer.com/chapter/10.1007/978-3-319-57015-0_3","Chapter"
"Evaluating SpeakyAcutattile: A System Based on Spoken Language for Ambient Assisted Living","Ambient Assisted Living","","","","10.1007/978-3-319-54283-6_26","F. FracassoG. CortellessaA. CestaF. GiacomelliN. Manes","2017","http://link.springer.com/chapter/10.1007/978-3-319-54283-6_26","Chapter"
"Diversity of Ageing Policy Concepts","Economic Foundations for Creative Ageing Policy, Volume II","","","","10.1057/978-1-137-53523-8_4","Andrzej Klimczuk","2017","http://link.springer.com/chapter/10.1057/978-1-137-53523-8_4","Chapter"
"A Survey of IoT Key Enabling and Future Technologies: 5G, Mobile IoT, Sematic Web and Applications","Wireless Personal Communications","","97","2","10.1007/s11277-017-4647-8","Sotirios K. GoudosPanagiotis I. DallasStella ChatziefthymiouSofoklis Kyriazakos","2017","http://link.springer.com/article/10.1007/s11277-017-4647-8","Article"
"Smart Cities IoT: Enablers and Technology Road Map","Smart City Networks","","","","10.1007/978-3-319-61313-0_10","Larissa R. Suzuki","2017","http://link.springer.com/chapter/10.1007/978-3-319-61313-0_10","Chapter"
"The Significance of User Involvement in Smart Buildings Within Smart Cities","Designing, Developing, and Facilitating Smart Cities","","","","10.1007/978-3-319-44924-1_13","Mervi Himanen","2017","http://link.springer.com/chapter/10.1007/978-3-319-44924-1_13","Chapter"
"Literature Survey","Wellness Protocol for Smart Homes","","","","10.1007/978-3-319-52048-3_2","Hemant GhayvatSubhas Chandra Mukhopadhyay","2017","http://link.springer.com/chapter/10.1007/978-3-319-52048-3_2","Chapter"
"Building Automation Systems in the World of Internet of Things","Components and Services for IoT Platforms","","","","10.1007/978-3-319-42304-3_18","Konstantinos ChristopoulosChristos AntonopoulosNikolaos VorosTheofanis Orfanoudakis","2017","http://link.springer.com/chapter/10.1007/978-3-319-42304-3_18","Chapter"
"IoT in Ambient Assistant Living Environments: A View from Europe","Components and Services for IoT Platforms","","","","10.1007/978-3-319-42304-3_14","Christos PanagiotouChristos AntonopoulosGeorgios KeramidasNikolaos VorosMichael Hübner","2017","http://link.springer.com/chapter/10.1007/978-3-319-42304-3_14","Chapter"
"Assistive IoT and Smart Environments: Performance Requirements","Internet of Things and Smart Environments","","","","10.1007/978-3-319-60164-9_6","Seyed Shahrestani","2017","http://link.springer.com/chapter/10.1007/978-3-319-60164-9_6","Chapter"
"A Survey on IoT: Architectures, Elements, Applications, QoS, Platforms and Security Concepts","Advances in Mobile Cloud Computing and Big Data in the 5G Era","","","","10.1007/978-3-319-45145-9_5","Gonçalo MarquesNuno GarciaNuno Pombo","2017","http://link.springer.com/chapter/10.1007/978-3-319-45145-9_5","Chapter"
