Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Posters","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0095-9","","2009","http://link.springer.com/article/10.1007/s12603-009-0095-9","Article"
"Oral communications","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0093-y","","2009","http://link.springer.com/article/10.1007/s12603-009-0093-y","Article"
"Market Potential for Ambient Assisted Living Technology: The Case of Canada","Ambient Assistive Health and Wellness Management in the Heart of the City","","","","10.1007/978-3-642-02868-7_8","Robert SavageYongjie YonMichael CampoAshleigh WilsonRavin KahlonAndrew Sixsmith","2009","http://link.springer.com/chapter/10.1007/978-3-642-02868-7_8","Chapter"
"SOPRANO – An Ambient Assisted Living System for Supporting Older People at Home","Ambient Assistive Health and Wellness Management in the Heart of the City","","","","10.1007/978-3-642-02868-7_30","Andrew SixsmithSonja MeullerFelicitas LullMichael KleinIlse BierhoffSarah DelaneyRobert Savage","2009","http://link.springer.com/chapter/10.1007/978-3-642-02868-7_30","Chapter"
"The “Acceptance” of Ambient Assisted Living: Developing an Alternate Methodology to This Limited Research Lens","Toward Useful Services for Elderly and People with Disabilities","","","","10.1007/978-3-642-21535-3_21","Robert BeringerAndrew SixsmithMichael CampoJulie BrownRose McCloskey","2011","http://link.springer.com/chapter/10.1007/978-3-642-21535-3_21","Chapter"
"Open Innovation in Health Service Value Networks: A Methodology for the Innovation of Ambient Assisted Living Platforms and Services","Business Information Systems Workshops","","","","10.1007/978-3-642-34228-8_3","Davor MeersmanPieter De Leenheer","2012","http://link.springer.com/chapter/10.1007/978-3-642-34228-8_3","Chapter"
"Challenges of User-Centred Research in the Development of Ambient Assisted Living Systems","Impact Analysis of Solutions for Chronic Disease Prevention and Management","","","","10.1007/978-3-642-30779-9_1","Ryan WoolrychAndrew Sixsmith","2012","http://link.springer.com/chapter/10.1007/978-3-642-30779-9_1","Chapter"
"Towards a Unified Ambient Assisted Living and Personal Health Environment","Ambient Assisted Living","","","","10.1007/978-3-642-18167-2_11","Mohammad Reza TazariReiner WichertThomas Norgall","2011","http://link.springer.com/chapter/10.1007/978-3-642-18167-2_11","Chapter"
"Challenges and Limitations of Intelligent Ambient Assisted Living Environments","Ambient Intelligence","","","","10.1007/978-3-642-16917-5_36","Reiner Wichert","2010","http://link.springer.com/chapter/10.1007/978-3-642-16917-5_36","Chapter"
"Ambient Assisted Living for ageing well – an overview","e & i Elektrotechnik und Informationstechnik","","127","7 - 8","10.1007/s00502-010-0747-9","A. N. BelbachirM. DrobicsW. Marschitz","2010","http://link.springer.com/article/10.1007/s00502-010-0747-9","Article"
"Technology for the Future, Design for the Present? Reflections on the Ambient Assisted Living Technology Industry","Design Anthropology","","","","10.1007/978-3-7091-0234-3_17","Simon Roberts","2011","http://link.springer.com/chapter/10.1007/978-3-7091-0234-3_17","Chapter"
"e-Health — Ambient Assisted Living and Personal Health Systems","Springer Handbook of Medical Technology","","","","10.1007/978-3-540-74658-4_67","Natasha AvilaChristina Sampogna","2011","http://link.springer.com/chapter/10.1007/978-3-540-74658-4_67","Chapter"
"A User Interface Level Context Model for Ambient Assisted Living","Smart Homes and Health Telematics","","","","10.1007/978-3-540-69916-3_13","Manfred WojciechowskiJinhua Xiong","2008","http://link.springer.com/chapter/10.1007/978-3-540-69916-3_13","Chapter"
"Goal-Oriented Access Control Model for Ambient Assisted Living","Privacy and Identity Management for Life","","","","10.1007/978-3-642-14282-6_13","Fabio MassacciViet Hung Nguyen","2010","http://link.springer.com/chapter/10.1007/978-3-642-14282-6_13","Chapter"
