Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ambient Assisted Living: Systematic Review","Usability, Accessibility and Ambient Assisted Living","","","","10.1007/978-3-319-91226-4_2","Alexandra QueirósNelson Pacheco da Rocha","2018","http://link.springer.com/chapter/10.1007/978-3-319-91226-4_2","Chapter"
"Ambient Assisted Living: Systems Characterization","Usability, Accessibility and Ambient Assisted Living","","","","10.1007/978-3-319-91226-4_3","Alexandra QueirósMilton SantosAna DiasNelson Pacheco da Rocha","2018","http://link.springer.com/chapter/10.1007/978-3-319-91226-4_3","Chapter"
"Ambient Assisted Living and Digital Inclusion: Overview of Projects, Services and Interfaces","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_15","Alessandro AndreadisRiccardo Zambon","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_15","Chapter"
"The application of internet of things in healthcare: a systematic literature review and classification","Universal Access in the Information Society","","","","10.1007/s10209-018-0618-4","Hossein AhmadiGoli ArjiLeila ShahmoradiReza SafdariMehrbakhsh NilashiMojtaba Alizadeh","2018","http://link.springer.com/article/10.1007/s10209-018-0618-4","Article"
"A study on medical Internet of Things and Big Data in personalized healthcare system","Health Information Science and Systems","","6","1","10.1007/s13755-018-0049-x","V. JagadeeswariV. SubramaniyaswamyR. LogeshV. Vijayakumar","2018","http://link.springer.com/article/10.1007/s13755-018-0049-x","Article"
"An Ontology for Wearables Data Interoperability and Ambient Assisted Living Application Development","Recent Developments and the New Direction in Soft-Computing Foundations and Applications","","","","10.1007/978-3-319-75408-6_43","Natalia Díaz-RodríguezStefan GrönroosFrank WickströmJohan LiliusHenk EertinkAndreas BraunPaul DillenJames CrowleyJan Alexandersson","2018","http://link.springer.com/chapter/10.1007/978-3-319-75408-6_43","Chapter"
"Activity Recognition and Dementia Care in Smart Home","Digital India","","","","10.1007/978-3-319-78378-9_2","K. S. GayathriK. S. EaswarakumarSusan Elias","2018","http://link.springer.com/chapter/10.1007/978-3-319-78378-9_2","Chapter"
"Beyond Automation: The Cognitive IoT. Artificial Intelligence Brings Sense to the Internet of Things","Cognitive Computing for Big Data Systems Over IoT","","","","10.1007/978-3-319-70688-7_1","Pijush Kanti Dutta PramanikSaurabh PalPrasenjit Choudhury","2018","http://link.springer.com/chapter/10.1007/978-3-319-70688-7_1","Chapter"
"Internet of Things (IoT) Infrastructures for Smart Cities","Handbook of Smart Cities","","","","10.1007/978-3-319-97271-8_1","Quang Le-DangTho Le-Ngoc","2018","http://link.springer.com/chapter/10.1007/978-3-319-97271-8_1","Chapter"
"Towards ambient assisted cities using linked data and data analysis","Journal of Ambient Intelligence and Humanized Computing","","9","5","10.1007/s12652-018-0916-y","Rubén MuleroVladimir UrosevicAitor AlmeidaChristos Tatsiopoulos","2018","http://link.springer.com/article/10.1007/s12652-018-0916-y","Article"
"Rising of Yokohama, Keihanna, Kitakyushu, and Toyota Smart Cities in the Land of the Rising Sun","Smart Cities","","","","10.1007/978-3-319-76669-0_10","Somayya MadakamRajesh M. HolmukheSiddharth Tripathi","2018","http://link.springer.com/chapter/10.1007/978-3-319-76669-0_10","Chapter"
"Abstracts of the 14th International Congress of the European Geriatric Medicine Society","European Geriatric Medicine","","9","1","10.1007/s41999-018-0097-4","","2018","http://link.springer.com/article/10.1007/s41999-018-0097-4","Article"
"Internet of Things Shaping Smart Cities: A Survey","Internet of Things and Big Data Analytics Toward Next-Generation Intelligence","","","","10.1007/978-3-319-60435-0_14","Arsalan ShahidBilal KhalidShahtaj ShaukatHashim AliMuhammad Yasir Qadri","2018","http://link.springer.com/chapter/10.1007/978-3-319-60435-0_14","Chapter"
"IoT-Enabled Smart Living","Technology for Smart Futures","","","","10.1007/978-3-319-60137-3_1","Ah-Lian KorColin PattinsonMax YanovskyVyacheslav Kharchenko","2018","http://link.springer.com/chapter/10.1007/978-3-319-60137-3_1","Chapter"
"Big Data Processing using Internet of Software Defined Things in Smart Cities","International Journal of Parallel Programming","","","","10.1007/s10766-018-0573-y","Murad KhanJaved IqbalMuhammad TalhaMuhammad ArshadMuhammad DiyanKijun Han","2018","http://link.springer.com/article/10.1007/s10766-018-0573-y","Article"
"Ageing in place and the internet of things – how smart home technologies, the built environment and caregiving intersect","Visualization in Engineering","","6","1","10.1186/s40327-018-0066-5","Phillippa Carnemolla","2018","http://link.springer.com/article/10.1186/s40327-018-0066-5","Article"
"Specifying an MQTT Tree for a Connected Smart Home","Smart Homes and Health Telematics, Designing a Better Future: Urban Assisted Living","","","","10.1007/978-3-319-94523-1_21","Adrien van den BosscheNicolas GonzalezThierry ValDamien BrulinFrédéric VellaNadine VigourouxEric Campo","2018","http://link.springer.com/chapter/10.1007/978-3-319-94523-1_21","Chapter"
"A Smart-Home IoT Infrastructure for the  Support  of Independent Living of Older Adults","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-319-92016-0_22","Stefanos StavrotheodorosNikolaos KaklanisKonstantinos VotisDimitrios Tzovaras","2018","http://link.springer.com/chapter/10.1007/978-3-319-92016-0_22","Chapter"
"Semantic based events signaling for AAL systems","Journal of Ambient Intelligence and Humanized Computing","","9","5","10.1007/s12652-017-0534-0","Gianfranco E. ModoniMario VenieroAlberto TrombettaMarco SaccoSusanna Clemente","2018","http://link.springer.com/article/10.1007/s12652-017-0534-0","Article"
"IoT Data Storage in the Cloud: A Case Study in Human Biometeorology","Cloud Infrastructures, Services, and IoT Systems for Smart Cities","","","","10.1007/978-3-319-67636-4_26","Brunno VanelliA. R. PintoMadalena P. da SilvaM. A. R. DantasM. FazioA. CelestiM. Villari","2018","http://link.springer.com/chapter/10.1007/978-3-319-67636-4_26","Chapter"
"User-Specific Concepts of Aging – A Qualitative Approach on AAL-Acceptance Regarding Ultrasonic Whistles","Human Aspects of IT for the Aged Population. Applications in Health, Assistance, and Entertainment","","","","10.1007/978-3-319-92037-5_18","Hannah BiermannSimon HimmelJulia Offermann-van HeekMartina Ziefle","2018","http://link.springer.com/chapter/10.1007/978-3-319-92037-5_18","Chapter"
"IAQ Evaluation Using an IoT CO2 Monitoring System for Enhanced Living Environments","Trends and Advances in Information Systems and Technologies","","","","10.1007/978-3-319-77712-2_112","Gonçalo MarquesRui Pitarma","2018","http://link.springer.com/chapter/10.1007/978-3-319-77712-2_112","Chapter"
"A Change Is Gonna Come","Human Aspects of IT for the Aged Population. Acceptance, Communication and Participation","","","","10.1007/978-3-319-92034-4_5","Patrick HalbachSimon HimmelJulia Offermann-van HeekMartina Ziefle","2018","http://link.springer.com/chapter/10.1007/978-3-319-92034-4_5","Chapter"
"IoT Based Recipes for Enabling Senior Citizens: Stakeholders Views on How Integration of IoT and Web Services Can Enhance Well-Being and Inclusion of Older People","Advances in Design for Inclusion","","","","10.1007/978-3-319-60597-5_7","Matteo ZallioJohn McGroryDamon Berry","2018","http://link.springer.com/chapter/10.1007/978-3-319-60597-5_7","Chapter"
"Challenges and Opportunities in Designing Smart Spaces","Internet of Everything","","","","10.1007/978-981-10-5861-5_6","Yuvraj SahniJiannong CaoJiaxing Shen","2018","http://link.springer.com/chapter/10.1007/978-981-10-5861-5_6","Chapter"
"Building Intelligent Systems for Smart Cities: Issues, Challenges and Approaches","Smart Cities","","","","10.1007/978-3-319-76669-0_5","Amrita GhosalSubir Halder","2018","http://link.springer.com/chapter/10.1007/978-3-319-76669-0_5","Chapter"
"Fog and Cloud in the Transportation, Marine and eHealth Domains","Euro-Par 2017: Parallel Processing Workshops","","","","10.1007/978-3-319-75178-8_24","Matija CankarEneko Olivares GorritiMatevž MarkovičFlavio Fuart","2018","http://link.springer.com/chapter/10.1007/978-3-319-75178-8_24","Chapter"
"Integration of Complex IoT Data with Case-Specific Interactive Expert Knowledge Feedback, for Elderly Frailty Prevention","Smart Homes and Health Telematics, Designing a Better Future: Urban Assisted Living","","","","10.1007/978-3-319-94523-1_25","Vladimir UroševićPaolo PaoliniChristos Tatsiopoulos","2018","http://link.springer.com/chapter/10.1007/978-3-319-94523-1_25","Chapter"
"Impact of 5G Technologies on Smart City Implementation","Wireless Personal Communications","","100","1","10.1007/s11277-018-5618-4","Sriganesh K. RaoRamjee Prasad","2018","http://link.springer.com/article/10.1007/s11277-018-5618-4","Article"
"Deploying Mobile Middleware for the Monitoring of Elderly People with the Internet of Things: A Case Study","Cloud Infrastructures, Services, and IoT Systems for Smart Cities","","","","10.1007/978-3-319-67636-4_4","Alessandro FioreAdriana CaioneDaniele ZappatoreGianluca De MitriLuca Mainetti","2018","http://link.springer.com/chapter/10.1007/978-3-319-67636-4_4","Chapter"
"Toward a Smart City of Interdependent Critical Infrastructure Networks","Sustainable Interdependent Networks","","","","10.1007/978-3-319-74412-4_3","Arif I. SarwatAditya SundararajanImtiaz ParvezMasood MoghaddamiAmir Moghadasi","2018","http://link.springer.com/chapter/10.1007/978-3-319-74412-4_3","Chapter"
"A Security Requirements Library for the Development of Internet of Things (IoT) Applications","Requirements Engineering for Internet of Things","","","","10.1007/978-981-10-7796-8_7","Massila KamalrudinAsma Asdayana IbrahimSafiah Sidek","2018","http://link.springer.com/chapter/10.1007/978-981-10-7796-8_7","Chapter"
"Living with Disabilities – The Many Faces of Smart Home Technology Acceptance","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-319-93644-4_2","Julia van HeekSimon HimmelMartina Ziefle","2018","http://link.springer.com/chapter/10.1007/978-3-319-93644-4_2","Chapter"
"Intelligent (Smart) E-Commerce","Electronic Commerce 2018","","","","10.1007/978-3-319-58715-8_7","Efraim TurbanJon OutlandDavid KingJae Kyu LeeTing-Peng LiangDeborrah C. Turban","2018","http://link.springer.com/chapter/10.1007/978-3-319-58715-8_7","Chapter"
"The Revolutionary Internet of Things","Computational Methods and Models for Transport","","","","10.1007/978-3-319-54490-8_1","Arian Razmi-Farooji","2018","http://link.springer.com/chapter/10.1007/978-3-319-54490-8_1","Chapter"
"Contextual Pattern Clustering for Ontology Based Activity Recognition in Smart Home","Smart Secure Systems – IoT and Analytics Perspective","","","","10.1007/978-981-10-7635-0_16","K. S. GayathriK. S. EaswarakumarSusan Elias","2018","http://link.springer.com/chapter/10.1007/978-981-10-7635-0_16","Chapter"
"Participatory Design Approach to Internet of Things: Co-designing a Smart Shower for and with People with Disabilities","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_19","Mexhid FeratiAyesha BabarKanani CarineAli HamidiChristina Mörtberg","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_19","Chapter"
"Internet of Things and New Value Proposition","Industry 4.0: Managing The Digital Transformation","","","","10.1007/978-3-319-57870-5_10","Gaye KaracayBurak Aydın","2018","http://link.springer.com/chapter/10.1007/978-3-319-57870-5_10","Chapter"
"Security Monitoring in a Low Cost Smart Home for the Elderly","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_20","Gabriel FerreiraPaulo PenicheiroRuben BernardoÁlvaro NevesLuís MendesJoão BarrosoAntónio Pereira","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_20","Chapter"
"Wellness City Strategies in Local–Global Dialectic","Wellness City","","","","10.1007/978-3-319-75562-5_6","Ari-Veikko Anttiroiko","2018","http://link.springer.com/chapter/10.1007/978-3-319-75562-5_6","Chapter"
"Systematic Review of Real-time Remote Health Monitoring System in Triage and Priority-Based Sensor Technology: Taxonomy, Open Challenges, Motivation and Recommendations","Journal of Medical Systems","","42","5","10.1007/s10916-018-0943-4","O. S. AlbahriA. S. AlbahriK. I. MohammedA. A. ZaidanB. B. ZaidanM. HashimOmar H. Salman","2018","http://link.springer.com/article/10.1007/s10916-018-0943-4","Article"
"ActiveAdvice: A Multi-stakeholder Perspective to Understand Functional Requirements of an Online Advice Platform for AAL Products and Services","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-319-93644-4_9","Soraia TelesAndrea Ch. KoflerPaul SchmitterStefan RuscherConstança PaúlDiotima Bertel","2018","http://link.springer.com/chapter/10.1007/978-3-319-93644-4_9","Chapter"
"Future Perspectives for Aging Well: AAL Tools, Products, Services","Computers Helping People with Special Needs","","","","10.1007/978-3-319-94274-2_50","Jean D. Hallewell HaslwanterMarkus GarschallKatja NeureiterPaul PanekÖzge Subasi","2018","http://link.springer.com/chapter/10.1007/978-3-319-94274-2_50","Chapter"
"Identifying Elderlies at Risk of Becoming More Depressed with Internet-of-Things","Human Aspects of IT for the Aged Population. Applications in Health, Assistance, and Entertainment","","","","10.1007/978-3-319-92037-5_26","Jiajue OuHuiguang LiangHwee Xian Tan","2018","http://link.springer.com/chapter/10.1007/978-3-319-92037-5_26","Chapter"
"Toward a Cognitive Middleware for Context-Aware Interaction in Smart Homes","Technology for Smart Futures","","","","10.1007/978-3-319-60137-3_3","Obinna AnyaHissam Tawfik","2018","http://link.springer.com/chapter/10.1007/978-3-319-60137-3_3","Chapter"
"Unified Interface for People with Disabilities (UI-PWD) at Smart City (Design and Implementation)","Information Innovation Technology in Smart Cities","","","","10.1007/978-981-10-1741-4_1","Ghassan KbarSyed Hammad MianMustufa Haider Abidi","2018","http://link.springer.com/chapter/10.1007/978-981-10-1741-4_1","Chapter"
"The Rise of Internet of Things (IoT) in Big Healthcare Data: Review and Open Research Issues","Progress in Advanced Computing and Intelligent Engineering","","","","10.1007/978-981-10-6875-1_66","Zainab AlansariSafeeullah SoomroMohammad Riyaz BelgaumShahaboddin Shamshirband","2018","http://link.springer.com/chapter/10.1007/978-981-10-6875-1_66","Chapter"
"AmI Open Source System for the Intelligent Control of Residences for the Elderly","Interoperability, Safety and Security in IoT","","","","10.1007/978-3-319-93797-7_6","Regel Gonzalez-UsachDiana YacchiremaVicente ColladoCarlos Palau","2018","http://link.springer.com/chapter/10.1007/978-3-319-93797-7_6","Chapter"
"IoT-Based Services and Applications for Mental Health in the Literature","Journal of Medical Systems","","43","1","10.1007/s10916-018-1130-3","Isabel de la Torre DíezSusel Góngora AlonsoSofiane HamriouiEduardo Motta CruzLola Morón NozaledaManuel A. Franco","2018","http://link.springer.com/article/10.1007/s10916-018-1130-3","Article"
"A Business Model for Digital Services for Smart Cities in India","Smart Cities","","","","10.1007/978-3-319-76669-0_11","Chandrakumar ThangavelParthasarathy Sudhaman","2018","http://link.springer.com/chapter/10.1007/978-3-319-76669-0_11","Chapter"
"Mobile Commerce and the Internet of Things","Electronic Commerce 2018","","","","10.1007/978-3-319-58715-8_6","Efraim TurbanJon OutlandDavid KingJae Kyu LeeTing-Peng LiangDeborrah C. Turban","2018","http://link.springer.com/chapter/10.1007/978-3-319-58715-8_6","Chapter"
"Proposal IoT Architecture for Macro and Microscale Applied in Assistive Technology","Online Engineering & Internet of Things","","","","10.1007/978-3-319-64352-6_4","Carlos Solon S. Guimarães Jr.Renato Ventura B. HenriquesCarlos Eduardo PereiraWagner da Silva Silveira","2018","http://link.springer.com/chapter/10.1007/978-3-319-64352-6_4","Chapter"
"Cybercrimes Investigation and Intrusion Detection in Internet of Things Based on Data Science Methods","Cognitive Computing for Big Data Systems Over IoT","","","","10.1007/978-3-319-70688-7_2","Ezz El-Din HemdanD. H. Manjaiah","2018","http://link.springer.com/chapter/10.1007/978-3-319-70688-7_2","Chapter"
"Smart Healthcare Based on Internet of Things","Applications of Computing and Communication Technologies","","","","10.1007/978-981-13-2035-4_26","Dhruv RohatgiSiddharth SrivastavaSimran ChoudharyAanchal KhatriVaishali Kalra","2018","http://link.springer.com/chapter/10.1007/978-981-13-2035-4_26","Chapter"
"A review on intelligent process for smart home applications based on IoT: coherent taxonomy, motivation, open challenges, and recommendations","Artificial Intelligence Review","","","","10.1007/s10462-018-9648-9","A. A. ZaidanB. B. Zaidan","2018","http://link.springer.com/article/10.1007/s10462-018-9648-9","Article"
"Wearable IoT enabled real-time health monitoring system","EURASIP Journal on Wireless Communications and Networking","","2018","1","10.1186/s13638-018-1308-x","Jie WanMunassar A. A. H. Al-awlaqiMingSong LiMichael O’GradyXiang GuJin WangNing Cao","2018","http://link.springer.com/article/10.1186/s13638-018-1308-x","Article"
