Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Role of Drones in Ambient Assisted Living Systems for the Elderly","Enhanced Living Environments","","","","10.1007/978-3-030-10752-9_12","Radosveta SokulluAbdullah BalcıEren Demir","2019","http://link.springer.com/chapter/10.1007/978-3-030-10752-9_12","Chapter"
"Listening to the ones who care: exploring the perceptions of informal caregivers towards ambient assisted living applications","Journal of Ambient Intelligence and Humanized Computing","","10","2","10.1007/s12652-018-0856-6","Christina JaschinskiSomaya Ben Allouch","2019","http://link.springer.com/article/10.1007/s12652-018-0856-6","Article"
"Improving Ambient Assisted Living Through Artificial Intelligence","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16184-2_12","Alessandro MiguezChristophe SoaresJosé M. TorresPedro SobralRui S. Moreira","2019","http://link.springer.com/chapter/10.1007/978-3-030-16184-2_12","Chapter"
"Towards a Deeper Understanding of the Behavioural Implications of Bidirectional Activity-Based Ambient Displays in Ambient Assisted Living Environments","Enhanced Living Environments","","","","10.1007/978-3-030-10752-9_6","Kadian Davis-OwusuEvans OwusuLucio MarcenaroCarlo RegazzoniLoe FeijsJun Hu","2019","http://link.springer.com/chapter/10.1007/978-3-030-10752-9_6","Chapter"
"Influence of User Factors on the Acceptance of Ambient Assisted Living Technologies in Professional Care Contexts","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-030-15736-4_1","Julia Offermann-van HeekMartina ZiefleSimon Himmel","2019","http://link.springer.com/chapter/10.1007/978-3-030-15736-4_1","Chapter"
"Biometric Security and Internet of Things (IoT)","Biometric-Based Physical and Cybersecurity Systems","","","","10.1007/978-3-319-98734-7_19","Mohammad S. ObaidatSoumya Prakash RanaTanmoy MaitraDebasis GiriSubrata Dutta","2019","http://link.springer.com/chapter/10.1007/978-3-319-98734-7_19","Chapter"
"Yet Another Virtual Butler to Bridge the Gap Between Users and Ambient Assisted Living","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16184-2_15","Marta CarvalhoRicardo DominguesRodrigo AlvesAntónio PereiraNuno Costa","2019","http://link.springer.com/chapter/10.1007/978-3-030-16184-2_15","Chapter"
"Applications of the Internet of Things with the Cloud Computing Technologies: A Review","Edge Computing","","","","10.1007/978-3-319-99061-3_5","U. Ram JagannathS. SaravananS. Kanimozhi Suguna","2019","http://link.springer.com/chapter/10.1007/978-3-319-99061-3_5","Chapter"
"Indoor Air Quality Assessment Using a CO2 Monitoring System Based on Internet of Things","Journal of Medical Systems","","43","3","10.1007/s10916-019-1184-x","Gonçalo MarquesCristina Roque FerreiraRui Pitarma","2019","http://link.springer.com/article/10.1007/s10916-019-1184-x","Article"
"Environmental Quality Monitoring System Based on Internet of Things for Laboratory Conditions Supervision","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16187-3_4","Gonçalo MarquesRui Pitarma","2019","http://link.springer.com/chapter/10.1007/978-3-030-16187-3_4","Chapter"
"Enabling End Users to Define the Behavior of Smart Objects in AAL Environments","Ambient Assisted Living","","","","10.1007/978-3-030-05921-7_8","Carmelo ArditoPaolo BuonoMaria Francesca CostabileGiuseppe DesoldaRosa LanzilottiMaristella MateraAntonio Piccinno","2019","http://link.springer.com/chapter/10.1007/978-3-030-05921-7_8","Chapter"
"Internet of Thing and Smart City: State of the Art and Future Trends","Advances in Computer Communication and Computational Sciences","","","","10.1007/978-981-13-0344-9_1","Ako A. JaafarKarzan H. SharifMazen I. GharebDayang N. A. Jawawi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0344-9_1","Chapter"
"Medical Information Processing Using Smartphone Under IoT Framework","Energy Conservation for IoT Devices","","","","10.1007/978-981-13-7399-2_12","Akash GuptaChinmay ChakrabortyBharat Gupta","2019","http://link.springer.com/chapter/10.1007/978-981-13-7399-2_12","Chapter"
"Special issue on “Recent advances in ambient intelligence towards a smart and human-centered internet of things”","Journal of Ambient Intelligence and Humanized Computing","","10","2","10.1007/s12652-019-01200-w","Antonio MañaHristo Koshutanski","2019","http://link.springer.com/article/10.1007/s12652-019-01200-w","Article"
"Collaborative handshaking approaches between internet of computing and internet of things towards a smart world: a review from 2009–2017","Telecommunication Systems","","70","4","10.1007/s11235-018-0481-x","Le Hoang SonSudan JhaRaghvendra KumarJyotir Moy ChatterjeeManju Khari","2019","http://link.springer.com/article/10.1007/s11235-018-0481-x","Article"
"Introduction","Human Activity Recognition and Behaviour Analysis","","","","10.1007/978-3-030-19408-6_1","Liming ChenChris D. Nugent","2019","http://link.springer.com/chapter/10.1007/978-3-030-19408-6_1","Chapter"
